frequency_hz,amplitude_v,reference_amplitude_v,gain_linear,gain_db,mode,run_id,curve_label,fir_mode,sample_rate_hz_nominal,power_tier_dbm,status,qc_analysis_pass,qc_recommended_pass,selection_preferred_power_dbm,selection_used_preferred_mode_power,source_kind,source_path,source_member,frequency_normalized_to_nyquist,frequency_normalized_to_fs
11249.300282926362,2.3854759727868973,117.75219521810388,0.020258441622837287,-33.86787931439431,default@1.6MHz,e2_sr1600000_f11249_idx01_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f11249_idx01_fir_default__pm30p0.npz,0.014061625353657953,0.0070308126768289765
12654.67568554469,2.9189391939103113,117.75219521810388,0.02478883037809844,-32.114879284991474,default@1.6MHz,e2_sr1600000_f12655_idx02_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f12655_idx02_fir_default__pm30p0.npz,0.01581834460693086,0.00790917230346543
14235.624676973923,3.706780059826648,117.75219521810388,0.03147949856018265,-30.039443883489533,default@1.6MHz,e2_sr1600000_f14236_idx03_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f14236_idx03_fir_default__pm30p0.npz,0.017794530846217405,0.008897265423108702
16014.081670631627,4.621681671415731,117.75219521810388,0.03924921877554235,-28.123379662373363,default@1.6MHz,e2_sr1600000_f16014_idx04_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f16014_idx04_fir_default__pm30p0.npz,0.020017602088289534,0.010008801044144767
18014.721346824223,5.881676939692589,117.75219521810388,0.04994961604578483,-26.02935691546181,default@1.6MHz,e2_sr1600000_f18015_idx05_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f18015_idx05_fir_default__pm30p0.npz,0.022518401683530278,0.011259200841765139
20265.30099436689,7.566329169975781,117.75219521810388,0.06425637463455536,-23.84167562256922,default@1.6MHz,e2_sr1600000_f20265_idx06_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f20265_idx06_fir_default__pm30p0.npz,0.025331626242958614,0.012665813121479307
22797.045620951936,9.668638339671777,117.75219521810388,0.08211004747523608,-21.712073935305366,default@1.6MHz,e2_sr1600000_f22797_idx07_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f22797_idx07_fir_default__pm30p0.npz,0.02849630702618992,0.01424815351309496
25645.081175365984,12.185239781894095,117.75219521810388,0.10348206043483314,-19.702698652343408,default@1.6MHz,e2_sr1600000_f25645_idx08_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f25645_idx08_fir_default__pm30p0.npz,0.03205635146920748,0.01602817573460374
28848.92189217135,15.533284118256896,117.75219521810388,0.13191502790657716,-17.594114526505336,default@1.6MHz,e2_sr1600000_f28849_idx09_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f28849_idx09_fir_default__pm30p0.npz,0.03606115236521419,0.018030576182607096
32453.01852037237,19.833659088009274,117.75219521810388,0.16843557821807756,-15.471323364590843,default@1.6MHz,e2_sr1600000_f32453_idx10_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f32453_idx10_fir_default__pm30p0.npz,0.040566273150465466,0.020283136575232733
36507.37504230394,24.7892038529489,117.75219521810388,0.2105200994939725,-13.534128668053114,default@1.6MHz,e2_sr1600000_f36507_idx11_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f36507_idx11_fir_default__pm30p0.npz,0.04563421880287992,0.02281710940143996
41068.24243922877,31.399638419509547,117.75219521810388,0.2666586245916712,-11.480887305663847,default@1.6MHz,e2_sr1600000_f41068_idx12_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f41068_idx12_fir_default__pm30p0.npz,0.05133530304903597,0.025667651524517984
46198.89912909047,39.230182561945995,117.75219521810388,0.33315882127957586,-9.546973662485458,default@1.6MHz,e2_sr1600000_f46199_idx13_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f46199_idx13_fir_default__pm30p0.npz,0.05774862391136308,0.02887431195568154
51970.52890437639,49.18080120871826,117.75219521810388,0.4176635613257504,-7.583468254116214,default@1.6MHz,e2_sr1600000_f51971_idx14_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f51971_idx14_fir_default__pm30p0.npz,0.06496316113047049,0.032481580565235244
58463.2085507834,60.63757283656118,117.75219521810388,0.5149591710307106,-5.76454405991349,default@1.6MHz,e2_sr1600000_f58463_idx15_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f58463_idx15_fir_default__pm30p0.npz,0.07307901068847925,0.03653950534423962
65767.01884911093,73.10514792043313,117.75219521810388,0.6208389387987693,-4.140421041985009,default@1.6MHz,e2_sr1600000_f65767_idx16_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f65767_idx16_fir_default__pm30p0.npz,0.08220877356138866,0.04110438678069433
73983.2943746527,87.59438691867334,117.75219521810388,0.7438875067800527,-2.569854699795134,default@1.6MHz,e2_sr1600000_f73983_idx17_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f73983_idx17_fir_default__pm30p0.npz,0.09247911796831587,0.046239558984157936
83226.0294340605,99.41076002202729,117.75219521810388,0.8442369998953814,-1.4707123637395387,default@1.6MHz,e2_sr1600000_f83226_idx18_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f83226_idx18_fir_default__pm30p0.npz,0.10403253679257563,0.05201626839628781
93623.45964594127,104.924730523433,117.75219521810388,0.8910639018583772,-1.0018229960450022,default@1.6MHz,e2_sr1600000_f93623_idx19_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f93623_idx19_fir_default__pm30p0.npz,0.1170293245574266,0.0585146622787133
