run_id,f_true_hz,sample_rate_hz,predicted_alias_hz,measured_alias_hz,residual_hz,abs_residual_hz,uncertainty_hz,fir_mode,power_tier_dbm,status,adc_passes_guard,adc_is_clipped,qc_analysis_pass,qc_recommended_pass
e1_sr1000000_f347826_idx03_fir_default__pm10p0,347826.0869565217,1000000.026490954,347826.0869565217,347656.25920974574,-169.82774677599082,169.82774677599082,0.0,default,-10.0,captured_guard_fail,False,True,True,False
e1_sr1000000_f347826_idx03_fir_default__pp0p0,347826.0869565217,1000000.026490954,347826.0869565217,347656.25920974574,-169.82774677599082,169.82774677599082,0.0,default,0.0,captured_guard_fail,False,True,True,False
e1_sr1000000_f347826_idx03_fir_default__pp10p0,347826.0869565217,1000000.026490954,347826.0869565217,347656.25920974574,-169.82774677599082,169.82774677599082,0.0,default,10.0,captured_guard_fail,False,True,True,False
e1_sr1000000_f434783_idx04_fir_alias_hack__pm30p0,434782.60869565216,1000000.026490954,434782.6086956522,434570.3240121822,-212.28468347003218,212.28468347003218,0.0,alias_hack,-30.0,captured_guard_fail,False,True,True,False
e1_sr1000000_f434783_idx04_fir_alias_hack__pm40p0,434782.60869565216,1000000.026490954,434782.6086956522,434570.3240121822,-212.28468347003218,212.28468347003218,0.0,alias_hack,-40.0,captured,True,False,True,True
e1_sr1000000_f434783_idx04_fir_alias_hack__pm50p0,434782.60869565216,1000000.026490954,434782.6086956522,434570.3240121822,-212.28468347003218,212.28468347003218,0.0,alias_hack,-50.0,captured,True,False,True,True
e1_sr1000000_f434783_idx04_fir_default__pm10p0,434782.60869565216,1000000.026490954,434782.6086956522,434570.3240121822,-212.28468347003218,212.28468347003218,0.0,default,-10.0,captured_guard_fail,False,True,True,False
e1_sr1000000_f434783_idx04_fir_default__pp0p0,434782.60869565216,1000000.026490954,434782.6086956522,434570.3240121822,-212.28468347003218,212.28468347003218,0.0,default,0.0,captured_guard_fail,False,True,True,False
e1_sr1000000_f434783_idx04_fir_default__pp10p0,434782.60869565216,1000000.026490954,434782.6086956522,434570.3240121822,-212.28468347003218,212.28468347003218,0.0,default,10.0,captured_guard_fail,False,True,True,False
e1_sr1000000_f521739_idx05_fir_alias_hack__pm30p0,521739.1304347826,1000000.026490954,-478260.8960561714,-478027.35641340044,233.53964277094929,233.53964277094929,0.0,alias_hack,-30.0,captured,True,False,True,True
e1_sr1000000_f521739_idx05_fir_alias_hack__pm40p0,521739.1304347826,1000000.026490954,-478260.8960561714,-478027.35641340044,233.53964277094929,233.53964277094929,0.0,alias_hack,-40.0,captured,True,False,True,True
e1_sr1000000_f521739_idx05_fir_alias_hack__pm50p0,521739.1304347826,1000000.026490954,-478260.8960561714,-478027.35641340044,233.53964277094929,233.53964277094929,0.0,alias_hack,-50.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f521739_idx05_fir_default__pm10p0,521739.1304347826,1000000.026490954,-478260.8960561714,-478027.35641340044,233.53964277094929,233.53964277094929,0.0,default,-10.0,captured_guard_fail,False,True,True,False
e1_sr1000000_f521739_idx05_fir_default__pp0p0,521739.1304347826,1000000.026490954,-478260.8960561714,-478027.35641340044,233.53964277094929,233.53964277094929,0.0,default,0.0,captured_guard_fail,False,True,True,False
e1_sr1000000_f521739_idx05_fir_default__pp10p0,521739.1304347826,1000000.026490954,-478260.8960561714,-478027.35641340044,233.53964277094929,233.53964277094929,0.0,default,10.0,captured_guard_fail,False,True,True,False
e1_sr1000000_f608696_idx06_fir_alias_hack__pm30p0,608695.6521739131,1000000.026490954,-391304.374317041,-391113.291610964,191.08270607702434,191.08270607702434,0.0,alias_hack,-30.0,captured,True,False,True,True
e1_sr1000000_f608696_idx06_fir_alias_hack__pm40p0,608695.6521739131,1000000.026490954,-391304.374317041,-391113.291610964,191.08270607702434,191.08270607702434,0.0,alias_hack,-40.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f608696_idx06_fir_alias_hack__pm50p0,608695.6521739131,1000000.026490954,-391304.374317041,-391113.291610964,191.08270607702434,191.08270607702434,0.0,alias_hack,-50.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f608696_idx06_fir_default__pm10p0,608695.6521739131,1000000.026490954,-391304.374317041,-391113.291610964,191.08270607702434,191.08270607702434,0.0,default,-10.0,captured,True,False,True,True
e1_sr1000000_f608696_idx06_fir_default__pp0p0,608695.6521739131,1000000.026490954,-391304.374317041,-391113.291610964,191.08270607702434,191.08270607702434,0.0,default,0.0,captured,True,False,True,True
e1_sr1000000_f608696_idx06_fir_default__pp10p0,608695.6521739131,1000000.026490954,-391304.374317041,-391113.291610964,191.08270607702434,191.08270607702434,0.0,default,10.0,captured,True,False,True,True
e1_sr1000000_f695652_idx07_fir_alias_hack__pm30p0,695652.1739130435,1000000.026490954,-304347.85257791064,-304199.22680852754,148.6257693830994,148.6257693830994,0.0,alias_hack,-30.0,captured,True,False,True,True
e1_sr1000000_f695652_idx07_fir_alias_hack__pm40p0,695652.1739130435,1000000.026490954,-304347.85257791064,-304199.22680852754,148.6257693830994,148.6257693830994,0.0,alias_hack,-40.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f695652_idx07_fir_alias_hack__pm50p0,695652.1739130435,1000000.026490954,-304347.85257791064,-304199.22680852754,148.6257693830994,148.6257693830994,0.0,alias_hack,-50.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f695652_idx07_fir_default__pm10p0,695652.1739130435,1000000.026490954,-304347.85257791064,-304199.22680852754,148.6257693830994,148.6257693830994,0.0,default,-10.0,captured,True,False,True,True
e1_sr1000000_f695652_idx07_fir_default__pp0p0,695652.1739130435,1000000.026490954,-304347.85257791064,-304199.22680852754,148.6257693830994,148.6257693830994,0.0,default,0.0,captured,True,False,True,True
e1_sr1000000_f695652_idx07_fir_default__pp10p0,695652.1739130435,1000000.026490954,-304347.85257791064,-304199.22680852754,148.6257693830994,148.6257693830994,0.0,default,10.0,captured,True,False,True,True
e1_sr1000000_f782609_idx08_fir_alias_hack__pm30p0,782608.6956521738,1000000.026490954,-217391.33083878027,-217285.1620060911,106.16883268917445,106.16883268917445,0.0,alias_hack,-30.0,captured,True,False,True,True
